index,date,stock_name,qty,price,demat,tran_type
1,12 Dec 2023,HINDUNILVR,2,2494.55,KITE-M,BUY
2,11 Jan 2024,IRCTC,1,944.5,KITE-M,BUY
3,16 Jan 2024,IRFC,12,168.9,KITE-M,BUY
4,06 Feb 2024,AIAENG,2,3941.95,KITE-M,BUY
5,06 Feb 2024,IRB,130,68.46,KITE-M,BUY
6,26 Jun 2024,TATAPOWER,5,432.4,KITE-M,BUY
7,01 Jul 2024,OLECTRA,4,1711.72,KITE-M,BUY
8,02 Jul 2024,ARE&M,10,1439.43,KITE-M,BUY
9,14 Aug 2024,ADANIPOWER,25,129.58,KITE-M,BUY
10,04 Dec 2024,RVNL,10,447.0,KITE-N,BUY
11,19 May 2025,TCS,1,3505.0,KITE-N,BUY
12,13 Jun 2025,NBCC,20,120.2,AB,BUY
13,13 Jun 2025,TECHM,1,1649.3,AB,BUY
14,19 Jun 2025,LICI,1,929.0,KITE-N,BUY
15,26 Jun 2025,IRB,30,65.5,KITE-M,BUY
16,02 Jul 2025,KEC,2,900.0,KITE-N,BUY
17,04 Jul 2025,OBEROIRLTY,1,1861.0,KITE-N,BUY
18,08 Jul 2025,CAMS,1,4121.0,KITE-N,BUY
19,11 Jul 2025,CDSL,1,1700.2,KITE-N,BUY
20,23 Jul 2025,TRITURBINE,1,644.0,KITE-N,BUY
21,31 Jul 2025,CDSL,2,1484.3,KITE-N,BUY
22,31 Jul 2025,OBEROIRLTY,1,1633.2,KITE-N,BUY
23,31 Jul 2025,RVNL,3,349.3,KITE-N,BUY
24,31 Jul 2025,TCS,1,3037.2,KITE-N,BUY
25,07 Aug 2025,RVNL,1,342.0,KITE-N,BUY
26,07 Aug 2025,TRITURBINE,2,518.0,KITE-N,BUY
27,25 Aug 2025,ARE&M,8,986.05,KITE-M,BUY
28,28 Aug 2025,RVNL,15,308.1,KITE-N,BUY
29,04 Sep 2025,HINDUNILVR,2,2678.0,KITE-M,SELL
30,04 Sep 2025,IRCTC,7,713.2,KITE-M,BUY
31,25 Sep 2025,TCS,1,2895.0,KITE-N,BUY
32,26 Sep 2025,IRB,53,41.03,KITE-M,BUY
33,06 Nov 2025,KEC,2,786.5,KITE-N,BUY
34,17 Nov 2025,HDFCBANK,3,991.1,KITE-N,BUY
35,17 Nov 2025,RVNL,1,330.9,KITE-N,BUY
